numero;nome_urna;estado_uf;partido;federacao;cargo;situacao
11022;ANA MARIA;DF;PP;Nenhuma;Deputado Distrital;Deferido
11133;PASTOR DANIEL DE CASTRO;DF;PP;Nenhuma;Deputado Distrital;Deferido
11000;PROFESSORA DAYANE MESQUITA;DF;PP;Nenhuma;Deputado Distrital;Deferido
27600;CARLÃO FILHO DA PÁTRIA;DF;DC;Nenhuma;Deputado Distrital;Deferido
27321;SGT VALDINETE;DF;DC;Nenhuma;Deputado Distrital;Deferido
27222;MARIA BRAZILINO;DF;DC;Nenhuma;Deputado Distrital;Deferido
27100;JOSIVALDO;DF;DC;Nenhuma;Deputado Distrital;Deferido
27777;IRACILDA;DF;DC;Nenhuma;Deputado Distrital;Deferido
28180;NÍVIA CRUZ;DF;PRTB;Nenhuma;Deputado Distrital;Deferido
30333;LGM;DF;NOVO;Nenhuma;Deputado Distrital;Deferido
270;AMARAL;DF;DC;Nenhuma;1º Suplente;Deferido
123;FABÍOLA CONSTTÂNCIO;DF;PDT;Nenhuma;2º Suplente;Deferido
21;JAMIL MAGARI;DF;PCB;Nenhuma;Vice-Governador;Deferido
100;MANOEL ARRUDA;DF;REPUBLICANOS;Nenhuma;1º Suplente;Indeferido
45;IZALCI;DF;PSDB;Federação PSDB Cidadania;Governador;Deferido
12;LEILA DO VÔLEI;DF;PDT;Nenhuma;Governador;Deferido
35615;ROMMEINE ANDRADE;DF;PMB;Nenhuma;Deputado Distrital;Indeferido
51444;BENÍCIO;DF;PATRIOTA;Nenhuma;Deputado Distrital;Indeferido
77333;RUBY DA SAÚDE;DF;SOLIDARIEDADE;Nenhuma;Deputado Distrital;Indeferido
13190;PATRÍCIO;DF;PT;Federação Brasil da Esperança - FE BRASIL;Deputado Distrital;Indeferido
777;ROSLANO;DF;SOLIDARIEDADE;Nenhuma;1º Suplente;Indeferido
456;FLÁVIO DONIN;DF;PSDB;Federação PSDB Cidadania;2º Suplente;Indeferido
3633;CEZAR PINTO;DF;AGIR;Nenhuma;Deputado Federal;Indeferido
40405;JESUS VALENTINI PESSOA HUMANA;DF;PSB;Nenhuma;Deputado Distrital;Indeferido
50500;RUBENS BIAS;DF;PSOL;Federação PSOL REDE;Deputado Distrital;Indeferido
270;TENENTE CORONEL SOUZA JÚNIOR;DF;DC;Nenhuma;Senador;Deferido
3030;RITA MASCARENHAS;DF;NOVO;Nenhuma;Deputado Federal;Deferido
2238;CAPITÃO DAVI;DF;PL;Nenhuma;Deputado Federal;Deferido
2829;DILMAR CARVALHO;DF;PRTB;Nenhuma;Deputado Federal;Deferido
4000;PAULA BENETT;DF;PSB;Nenhuma;Deputado Federal;Deferido
1525;PROFESSOR FÁBIO;DF;MDB;Nenhuma;Deputado Federal;Deferido
5013;RAPHAEL SEBBA;DF;PSOL;Federação PSOL REDE;Deputado Federal;Deferido
5010;ROSELI FARIA;DF;PSOL;Federação PSOL REDE;Deputado Federal;Deferido
3333;ADERIVALDO CARDOSO;DF;PMN;Nenhuma;Deputado Federal;Deferido
1600;EVERTON;DF;PSTU;Nenhuma;Deputado Federal;Deferido
2300;MARCILENE LIMA;DF;CIDADANIA;Federação PSDB Cidadania;Deputado Federal;Deferido
4401;RENILSON ROMA;DF;UNIÃO;Nenhuma;Deputado Federal;Deferido
2919;URIEL;DF;PCO;Nenhuma;Deputado Federal;Deferido
9090;AMAURI PINHO;DF;PROS;Nenhuma;Deputado Federal;Deferido
9010;DRA. MAJU MONTEIRO;DF;PROS;Nenhuma;Deputado Federal;Deferido
5511;ADRIANA MANGABEIRA;DF;PSD;Nenhuma;Deputado Federal;Deferido
2707;BISPA MAÉCE;DF;DC;Nenhuma;Deputado Federal;Deferido
2019;LUCIANO BAGLOGUI;DF;PSC;Nenhuma;Deputado Federal;Deferido
1454;PAUL KARSTEN  O DR DAS ARMAS;DF;PTB;Nenhuma;Deputado Federal;Deferido
7022;JAPONÊS É FEDERAL;DF;AVANTE;Nenhuma;Deputado Federal;Deferido
1221;CARLOS PENNA;DF;PDT;Nenhuma;Deputado Federal;Deferido
1212;BETO CEARÁ;DF;PDT;Nenhuma;Deputado Federal;Deferido
33555;EUGENIO PIEDADE;DF;PMN;Nenhuma;Deputado Distrital;Deferido
33333;DELEGADO PABLO AGUIAR;DF;PMN;Nenhuma;Deputado Distrital;Deferido
33051;JONATHAN ARAÚJO;DF;PMN;Nenhuma;Deputado Distrital;Deferido
12290;DANDAN;DF;PDT;Nenhuma;Deputado Distrital;Deferido
90013;GUERREIRO FRANCISCO;DF;PROS;Nenhuma;Deputado Distrital;Deferido
90007;SARGENTO MOACIR;DF;PROS;Nenhuma;Deputado Distrital;Deferido
90090;SERGIO LEITE;DF;PROS;Nenhuma;Deputado Distrital;Deferido
90500;KARINY ALVES;DF;PROS;Nenhuma;Deputado Distrital;Deferido
90999;ANGELA TEIXEIRA;DF;PROS;Nenhuma;Deputado Distrital;Deferido
90156;DAVIZINHO DO SOL NASCENTE;DF;PROS;Nenhuma;Deputado Distrital;Deferido
90022;DONNY SILVA;DF;PROS;Nenhuma;Deputado Distrital;Deferido
90000;SILVESTRE;DF;PROS;Nenhuma;Deputado Distrital;Deferido
90333;ROBERTA OLIVEIRA;DF;PROS;Nenhuma;Deputado Distrital;Deferido
35888;LUCY SILVA;DF;PMB;Nenhuma;Deputado Distrital;Deferido
44123;ALEX CARREIRO;DF;UNIÃO;Nenhuma;Deputado Distrital;Deferido
44321;NELSON NETO;DF;UNIÃO;Nenhuma;Deputado Distrital;Deferido
51111;PÁDUA;DF;PATRIOTA;Nenhuma;Deputado Distrital;Deferido
51190;PROF FABIO SILVA ABENÇOADO;DF;PATRIOTA;Nenhuma;Deputado Distrital;Deferido
45100;SÉRGIO IZALCI;DF;PSDB;Federação PSDB Cidadania;Deputado Distrital;Deferido
45101;PROFESSORA LUCIMAR CORDEIRO;DF;PSDB;Federação PSDB Cidadania;Deputado Distrital;Deferido
23245;MILENE NASCIMENTO;DF;CIDADANIA;Federação PSDB Cidadania;Deputado Distrital;Deferido
23321;PROFESSORA JACIRA;DF;CIDADANIA;Federação PSDB Cidadania;Deputado Distrital;Deferido
22001;FLORIANO AGORA;DF;PL;Nenhuma;Deputado Distrital;Deferido
22061;LÉO ÍNDIO BOLSONARO;DF;PL;Nenhuma;Deputado Distrital;Deferido
22321;MISSIONÁRIA CELINA;DF;PL;Nenhuma;Deputado Distrital;Deferido
10099;ELIANE CASTRO;DF;REPUBLICANOS;Nenhuma;Deputado Distrital;Deferido
10007;CLAUDINHA DA SAÚDE;DF;REPUBLICANOS;Nenhuma;Deputado Distrital;Deferido
22200;SARDINHA;DF;PL;Nenhuma;Deputado Distrital;Deferido
40123;MARLON COSTA;DF;PSB;Nenhuma;Deputado Distrital;Deferido
40444;ESTÊVÃO ROLIM;DF;PSB;Nenhuma;Deputado Distrital;Deferido
40040;THAYNARA;DF;PSB;Nenhuma;Deputado Distrital;Deferido
